question_contains_api,question_score,question_favorites,question_views,question_user_rep,question_age,question_answer_count,question_user_accept_rate,question_user_is_reg,question_contains_code,question_edited,question_size,answer_score,answer_age,answer_question_time_dff,answer_user_reputation,answer_user_accept_rate,answer_user_is_reg,answer_contains_code,answer_accepted_or_edit,answer_rank,answer_size,sent_codeblock,sent_total_tokens,sent_position,sent_api_position,sent_start_islower,sent_code_char_count,sent_contains_html_tags,sent_tagged_token_percent,sent_max_cosine,sent_avg_cosine,sentence,sent_pos,isMeaningful
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,3869,5696,0,15244,100,True,True,True,1,1832,False,70,4505,187,False,9,True,5.714285714,0.8325024,0.7515517,Also  if you add more elements than the capacity of the underlying array  a new array (1.5 times the size) is allocated  and the old array is copied to the new one  so adding to an <code>ArrayList</code> is <em>O(n)</em> in the worst case but constant on average.</p> <p>,"RB , IN PRP VBP JJR NNS IN DT NN IN DT JJ NN , DT JJ NN -LRB- CD NNS DT NN -RRB- VBZ VBN , CC DT JJ NN VBZ VBN IN DT JJ NN , RB VBG IN DT -LRB- NN -RRB- NN -LRB- , NN -RRB- VBZ -LRB- NN : NN -RRB- SYM PRP -RRB- IN DT JJS NN CC JJ IN NN -RRB- -LRB- NN",no
True,108,0,98433,48677,4138,6,72,True,True,True,235,6,705,3432,325496,58,True,True,True,3,1692,False,44,83,173,True,13,True,4.545454545,0.88519096,0.7329752,the info needed to connect to a database server: server name or address  user name  user password  settings specific to your particular database engine  etc.</li> <li><code>DriverManager</code> is fine during your initial learning.,"DT NN VBN TO VB IN DT NN NN : NN NN CC NN , NN NN , NN NN , NNS JJ IN PRP$ JJ NN NN , NN -RRB- -LRB- NN NN , NN -RRB- VBZ JJ IN PRP$ JJ NN .",yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,61,4667,1028,2115,0,True,True,True,9,1309,False,17,83,63,False,19,True,5.882352941,0.4258409,0.24009416,<p>Edit/Remove is faster in <code>LinkedList</code> than <code>ArrayList</code>.</p>,"-LRB- NN NN , VB VBZ JJR IN -LRB- NN NN -RRB- IN -LRB- ADD -RRB- -RRB-",yes
True,0,0,1072,583,3958,1,76,True,True,True,405,0,3956,1,583,76,True,True,True,1,434,False,11,489,0,False,0,False,0.0,0.4173541,0.36854044,<p>Here is an example class:</p>,-LRB- NN RB VBZ DT NN NN : -LRB- NN -RRB-,no
True,1,0,2408,412,2671,2,100,True,True,True,102,1,2671,0,1418,0,True,False,False,2,91,False,14,316,0,False,0,False,0.0,0.8713007,0.8713007,Secure Class Loaders can only be used by classes found in the java.,NNP NNP NNS MD RB VB VBN IN NNS VBN IN DT NN .,yes
True,1289,0,1359746,18486,5170,29,79,True,True,True,138,13,4473,697,625,0,True,True,False,8,409,False,51,763,0,True,0,False,0.0,0.54646003,0.29954743,public static class CompDate implements Comparator&lt;Person&gt; { private int mod = 1; public CompDate(boolean desc) { if (desc) mod =-1; } @Override public int compare(Person arg0  Person arg1) { return mod*arg0.hireDate.compareTo(arg1.hireDate); } } },"JJ JJ NN NN VBZ NNP : NN : SYM JJ NN NN SYM CD : JJ NN -LRB- NN NN -RRB- : IN -LRB- NN -RRB- NN SYM CD : NN IN NN JJ NN NN NN NN , NN NN -RRB- NFP NN NNP -RRB- : CC SYM .",no
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,7,5038,0,True,0,False,0.0,0.33222896,0.080518596,get serialized.</p></li> </ul>,VB VBN NN -RRB- -LRB- FW -RRB-,no
True,1902,0,223301,21103,4139,14,45,True,True,True,128,13,4135,4,5304,0,True,True,True,10,174,False,66,136,43,False,266,True,3.03030303,0.83684,0.42455944,<pre><code>public static long generateSeed(String goal  long start  long finish) { char[] input = goal.toCharArray(); char[] pool = new char[input.length]; label: for (long seed = start; seed &lt; finish; seed++) { Random random = new Random(seed);,"-LRB- NN -RRB- -LRB- NN -RRB- JJ JJ JJ NN -LRB- NN NN , JJ NN , JJ NN -RRB- -LRB- NN -LRB- -RRB- NN SYM NNP -LRB- -RRB- : NN -LRB- -RRB- NN SYM JJ NNP NNP -RRB- : NN : IN -LRB- JJ NN SYM NN : NN NN : NN : NN SYM : JJ JJ SYM JJ NN -LRB- NN -RRB- :",no
True,294,0,131128,0,5538,12,0,False,True,True,43,25,3007,2530,38542,98,True,True,True,3,258,False,34,200,0,False,43,True,14.70588235,0.43619147,0.22680648,<code>Externalizable</code> interface contains two methods: <code>writeExternal()</code> and <code>readExternal()</code>.</li> <li><strong>,-LRB- NN -RRB- NN NFP NN -RRB- NN VBZ CD NNS : -LRB- NN -LRB- -RRB- -LRB- NN -RRB- CC -LRB- NN -LRB- -RRB- NFP NN NFP NN -RRB- -LRB- SYM -LRB- JJ -RRB-,yes
True,294,0,131128,0,5538,12,0,False,True,True,43,41,4122,1416,14190,62,True,True,True,2,733,False,8,4099,0,False,0,False,12.5,0.591779,0.33501303,I apologize if i made any mistakes.,PRP VBP IN PRP VBD DT NNS .,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,404,4245,1507,22607,100,True,True,True,3,1093,False,22,3557,0,False,12,True,13.63636364,0.5754527,0.44003174,Note that the returned type for <code>asList()</code> is a <code>List</code> using a concrete <code>ArrayList</code> implementation  but <strong>it is NOT</strong> <code>java.util.ArrayList</code>.,"VB IN DT VBN NN IN -LRB- NNP -LRB- -RRB- SYM NN -RRB- VBZ DT -LRB- NN NN -LRB- , NN -RRB- VBG DT NN -LRB- NN -RRB- NN -LRB- , NN -RRB- NN , CC -LRB- JJ -RRB- PRP VBZ NNP JJ -RRB- -LRB- ADD -RRB-",yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,315,5696,0,146990,100,True,True,True,3,193,False,12,693,0,False,10,True,16.66666667,0.5442726,0.41289765,It s jarring to see <code>LinkedList</code>,"PRP VBZ JJ TO VB -LRB- NN -RRB- NN -LRB- , NN -RRB-",no
True,372,0,1174397,29019,5704,14,62,True,True,True,280,41,4936,768,577,75,True,True,True,3,111,False,19,34,0,False,0,False,0.0,0.6643112,0.56802356,I had trouble with the filepath though  since I want to reference an image within my jar.,"PRP VBD NN IN DT NN RB , IN PRP VBP TO VB DT NN IN PRP$ NN .",no
True,294,0,131128,0,5538,12,0,False,True,True,43,2,2456,3082,614,0,True,True,True,9,418,False,11,2690,0,False,0,False,0.0,0.7871631,0.6572726,Where as Outstream/Instream are tightly bind to classes.,"WRB IN NN , NN VBP RB VBN IN NNS .",yes
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,21,9080,0,False,0,False,0.0,0.57778895,0.09395505,FileInputStream fis = new FileInputStream(new File( serFilename )); ObjectInputStream ois = new ObjectInputStream( fis );,NNP NNP SYM JJ NNP -LRB- JJ NNP FW -RRB- -RRB- : NNP NNP SYM JJ NNP -LRB- NN -RRB- :,no
True,0,0,64,1842,1704,1,10,True,True,True,1341,0,1704,0,323286,100,True,True,True,1,243,False,3,391,0,False,0,False,0.0,0.22608797,0.074227996,<p>Edit:</p>,NN NN NN,no
True,613,0,424372,6215,5577,9,0,True,True,True,303,4,1707,3870,9452,92,True,True,False,6,1041,False,19,434,0,False,0,False,0.0,0.67115015,0.5790118,Once key with value is created  we are not overriding its value.</li> </ul>,"IN NN IN NN VBZ VBN , PRP VBP RB VBG PRP$ NN -LRB- NNP -RRB- -LRB- FW -RRB-",yes
True,0,0,1072,583,3958,1,76,True,True,True,405,0,3956,1,583,76,True,True,True,1,434,False,19,971,0,True,0,False,0.0,0.2154004,0.19297267,private byte[] buf; private int randomInteger =0; private String randomString =   ;,JJ NN -LRB- -RRB- NN : JJ NN NN SYM CD : JJ NN NN SYM       :,no
True,121,0,66739,28560,5648,13,83,True,True,True,88,13,5648,0,89279,74,True,False,False,4,137,False,9,572,0,False,0,False,0.0,0.93209255,0.73738545,Especially in the case of complex data structures.,RB IN DT NN IN JJ NNS NNS .,no
True,1,0,1271,2611,3789,1,92,True,True,False,176,1,3789,0,1744,0,True,True,True,1,98,False,41,265,0,False,0,True,7.317073171,0.31333387,0.18210946,Using <a href= http://docs.oracle.com/javase/1.5.0/docs/api/java/io/File.html#toURI%28%29  rel= nofollow >File.toURI()</a><a href= http://docs.oracle.com/javase/6/docs/api/java/net/URI.html#toURL%28%29  rel= nofollow >.toURL()</a> should always build a correct URL.</p>,"VBG -LRB- DT NN SYM `` ADD    NN `` NN    -RRB- NNP -LRB- -RRB- , -LRB- DT NN SYM `` ADD    NN `` NN    -RRB- -LRB- -RRB- SYM NN MD RB VB DT JJ NN NN -RRB-",yes
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,14,9599,0,False,0,True,7.142857143,0.3813519,0.07441962,<ul> <li><a href= https://stackoverflow.com/a/31651945/5081877 >,-LRB- NN -RRB- -LRB- FW -RRB- -LRB- -LRB- NN SYM `` ADD    -RRB-,no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,58,4090,1605,2886,80,True,True,True,10,665,False,16,424,0,False,10,True,6.25,0.74219203,0.63832486,<p><code>LinkedList</code> is faster in add and remove  but slower in get.,"NN NN NN -RRB- VBZ JJR IN VB CC VB , CC JJR IN VB .",yes
True,121,0,66739,28560,5648,13,83,True,True,True,88,30,5648,0,62571,100,True,False,False,2,197,False,19,216,0,False,0,False,5.263157895,0.75663865,0.60937405,<p>For example in Smalltalk (a language created in 70s) every object is serializable by default.,NN IN NN IN NNP -LRB- DT NN VBN IN NNS -RRB- DT NN VBZ JJ IN NN .,yes
True,4739,0,2696520,48251,5702,66,100,True,True,True,129,3535,3058,2643,59486,0,True,True,True,1,1656,False,22,4662,0,False,0,False,0.0,0.5891918,0.3325472,Benchmark Mode Cnt Score Error Units 8. ByteArrayOutputStream and read (JDK) avgt 10 1 343 ± 0 028 us/op,"NN NN NN NN NN NNS LS . NNP CC VB -LRB- NNP -RRB- NN CD CD SYM CD NNS , NN",no
True,4739,0,2696520,48251,5702,66,100,True,True,True,129,138,4437,1264,10206,89,True,True,True,9,182,False,68,569,0,True,0,False,1.470588235,0.8705118,0.3287063,private ByteArrayOutputStream readFully(InputStream inputStream) throws IOException { ByteArrayOutputStream baos = new ByteArrayOutputStream(); byte[] buffer = new byte[1024]; int length = 0; while ((length = inputStream.read(buffer)) != -1) { baos.write(buffer  0  length); } return baos; } </code></pre>,"JJ NNP RB -LRB- NNP NN -RRB- VBZ NN HYPH NNP NNP SYM JJ NNP -LRB- -RRB- : NN -LRB- -RRB- NN SYM JJ NN -LRB- CD -RRB- : NN NN SYM CD : IN -LRB- -LRB- NN SYM NN -LRB- NN -RRB- -RRB- SYM , CD -RRB- : NNS . NN NN , CD , NN -RRB- : NN NN NNS : NN , NN NN -RRB-",no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,161,4930,765,3944,0,True,False,True,5,519,False,65,301,125,False,0,False,1.538461538,0.9460399,0.81398326,While the steady-state throughput of LinkedList is worse and therefore might lead to buying more hardware -- the behavior of ArrayList under pressure could lead to apps in a cluster expanding their arrays in near synchronicity and for large array sizes could lead to lack of responsiveness in the app and an outage  while under pressure  which is catastrophic behavior.</p>,"IN DT JJ HYPH NN NN IN NNP VBZ JJR CC RB MD VB IN VBG JJR NN , DT NN IN NNP IN NN MD VB IN NNS IN DT NN VBG PRP$ NNS IN JJ NN CC IN JJ NN NNS MD VB IN NN IN NN IN DT NN CC DT NN , IN IN NN , WDT VBZ JJ NN .",yes
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,404,4245,1507,22607,100,True,True,True,3,1093,False,25,4355,0,False,0,True,16.0,0.49775836,0.40195456,See the next step if you need a mutable list.</p> <h2>For a Mutable List</h2> <p>,"VB DT JJ NN IN PRP VBP DT JJ NN -LRB- NN -LRB- LS -RRB- IN DT JJ NN , CD -RRB- -LRB- NN -RRB-",no
True,34,0,9152,10265,5008,3,96,True,True,True,1293,7,4696,312,726,0,True,True,False,2,371,True,15,253,0,False,61,True,6.666666667,0.20285025,0.15630999,<pre><code>-Djava.security.manager -Djava.security.policy=&lt;policy file&gt; </code></pre>,-LRB- GW GW GW GW GW NN : NN NN : -LRB- GW NN -RRB-,no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,88,5696,0,3272,0,True,True,True,8,113,False,27,32,0,False,10,True,11.11111111,0.88020957,0.78637683,<code>LinkedList</code> is fast for appending or deleting large elements at the ends of a list  but slow to access a specific element.,"-LRB- NN NN -RRB- VBZ JJ IN NN CC VBG JJ NNS IN DT NNS IN DT NN , CC JJ TO VB DT JJ NN .",yes
True,294,0,131128,0,5538,12,0,False,True,True,43,41,4122,1416,14190,62,True,True,True,2,733,False,66,319,0,False,193,True,4.545454545,0.67310035,0.4111066,In default serialization the object is constructed entirely from its stored bits  with no constructor calls.</p> <pre><code> ObjectOutputStream oos = new ObjectOutputStream( new FileOutputStream(&quot;/Users/Desktop/files/temp.txt&quot;)); oos.writeObject(linkedListHead); //writing head of linked list oos.close(); </code></pre> <p>,"IN NN NN DT NN VBZ VBN RB IN PRP$ VBN NNS , IN DT NN NNS -LRB- NN -LRB- NN -RRB- -LRB- NN -RRB- NNP NN SYM JJ NNP -LRB- JJ NNP -LRB- FW : , NNP NNP ADD : -RRB- -RRB- : NNP -LRB- NNP -RRB- : SYM NN NN IN VBN NN NN -LRB- -RRB- : -LRB- NN NN -RRB- -LRB- NN -RRB-",yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,58,4090,1605,2886,80,True,True,True,10,665,False,38,121,56,False,12,True,5.263157895,0.56791323,0.40008852,<p>The <code>get</code> is pretty clear. O(1) for <code>ArrayList</code>  because <code>ArrayList</code> allow random access by using index.,"NFP -RRB- DT -LRB- NN -LRB- , NN -RRB- VBZ RB JJ . -LRB- LS -RRB- IN -LRB- NN NN -LRB- , NN , IN -LRB- NN NN NFP NN -RRB- VB JJ NN IN VBG NN .",yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,61,4667,1028,2115,0,True,True,True,9,1309,False,11,6967,52,False,0,False,0.0,0.5824404,0.40346488,//Note: Linked List is 500 Milliseconds faster than ArrayList,NFP NN : VBN NN VBZ CD NNS JJR IN NN,yes
True,294,0,131128,0,5538,12,0,False,True,True,43,41,4122,1416,14190,62,True,True,True,2,733,False,4,3263,0,False,0,False,0.0,0.6388415,0.4356103,MyExternalizable; javaserialization.,NNP : NN .,no
True,1289,0,1359746,18486,5170,29,79,True,True,True,138,13,3122,2048,2342,92,True,True,True,9,247,False,9,240,0,True,0,False,22.22222222,0.71956456,0.5322651,method can sort a <a href= ,NN MD VB DT -LRB- DT NN SYM   ,no
True,294,0,131128,0,5538,12,0,False,True,True,43,7,5538,0,27154,0,True,False,True,6,208,False,29,941,0,False,0,False,0.0,0.9060613,0.75780624,<p>Additionally (as Uri point out) externalization also provides for complete control over the encoding of the data in the stream corresponding to Java types.,-LRB- NN RB -LRB- IN NN VBP RP -RRB- NN RB VBZ IN JJ NN IN DT NN IN DT NNS IN DT NN VBG IN NNP NNS .,yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,61,4667,1028,2115,0,True,True,True,9,1309,False,5,962,0,True,0,False,0.0,0.6004081,0.44474915,import java.util.*;,NN NN . NFP :,no
True,2,0,3960,158,3900,2,50,True,True,False,464,0,3900,0,3637,69,True,True,False,2,214,False,9,93,0,True,0,False,0.0,0.57853204,0.51062244,static invocation is just skip it.</p>,"JJ NN VBZ RB VB PRP , NN -RRB-",no
True,4739,0,2696520,48251,5702,66,100,True,True,True,129,3535,3058,2643,59486,0,True,True,True,1,1656,False,35,151,36,False,16,True,14.28571429,0.44861788,0.30842605,Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>,"NNS TO VB DT NN IN DT NN SYM JJ NN -LRB- NNP -RRB- -LRB- NNP NNP -LRB- NNP , NN -RRB- -LRB- NNP NNP -RRB- -LRB- NN -RRB- -LRB- NN -RRB- -LRB- NN -RRB-",yes
